0,1,2,3,4,5
Assertive,Assertive,무르겠다,무르겠어,무르겠어요,무르겠습니다
,,,,,
Cause/Reason,Cause/Reason,물러,물러서,무르니,무르니까
Contrast,Contrast,무르지만,무르는데,무르더니,
Conjunction,Conjunction,무르고,,,
Condition,Condition,무르면,물러야,,
Motive,Motive,무르려고,,,
,,,,,
Verbal nouns,Verbal nouns,무름,무르기,,
Past-tense verbal nouns,Past-tense verbal nouns,물렀음,물렀기,,
Determiners,Past,무른,,,
Determiners,Present,무르는,,,
Determiners,Future,무를,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,무르신다,무르셔,"무르세요, 무르셔요",무르십니다
Indicative,Past,무르셨다,무르셨어,무르셨어요,무르셨습니다
Interrogative,Non-past,무르시느냐,무르셔,"무르세요, 무르셔요",무르십니까
Interrogative,Past,무르셨느냐,무르셨어,무르셨어요,무르셨습니까
Imperative,Imperative,무르시라,무르셔,무르세요,무르십시오
Assertive,Assertive,무르시겠다,무르시겠어,무르시겠어요,무르시겠습니다
,,,,,
Cause/Reason,Cause/Reason,무르셔,무르셔서,무르시니,무르시니까
Contrast,Contrast,무르시지만,무르시는데,무르시더니,
Conjunction,Conjunction,무르시고,,,
Condition,Condition,무르시면,무르셔야,,
Motive,Motive,무르시려고,,,
,,,,,
Verbal nouns,Verbal nouns,무르심,무르시기,,
Past-tense verbal nouns,Past-tense verbal nouns,무르셨음,무르셨기,,
Determiners,Past,무르신,,,
Determiners,Present,무르시는,,,
Determiners,Future,무르실,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,무른다,물러,물러요,무릅니다
Indicative,Past,물렀다,물렀어,물렀어요,물렀습니다
Interrogative,Non-past,무르느냐,물러,물러요,무릅니까
Interrogative,Past,물렀느냐,물렀어,물렀어요,물렀습니까
Hortative,Hortative,무르자,물러,물러요,무릅시다
Imperative,Imperative,물러라,물러,물러요,무릅시오
Assertive,Assertive,무르겠다,무르겠어,무르겠어요,무르겠습니다
,,,,,
Cause/Reason,Cause/Reason,물러,물러서,무르니,무르니까
Contrast,Contrast,무르지만,무르는데,무르더니,
Conjunction,Conjunction,무르고,,,
Condition,Condition,무르면,물러야,,
Motive,Motive,무르려고,,,
,,,,,
Verbal nouns,Verbal nouns,무름,무르기,,
Past-tense verbal nouns,Past-tense verbal nouns,물렀음,물렀기,,
Determiners,Past,무른,,,
Determiners,Present,무르는,,,
Determiners,Future,무를,,,
,,,,,
,,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,무르신다,무르셔,"무르세요, 무르셔요",무르십니다
Indicative,Past,무르셨다,무르셨어,무르셨어요,무르셨습니다
Interrogative,Non-past,무르시느냐,무르셔,"무르세요, 무르셔요",무르십니까
Interrogative,Past,무르셨느냐,무르셨어,무르셨어요,무르셨습니까
Imperative,Imperative,무르시라,무르셔,무르세요,무르십시오
Assertive,Assertive,무르시겠다,무르시겠어,무르시겠어요,무르시겠습니다
,,,,,
Cause/Reason,Cause/Reason,무르셔,무르셔서,무르시니,무르시니까
Contrast,Contrast,무르시지만,무르시는데,무르시더니,
Conjunction,Conjunction,무르시고,,,
Condition,Condition,무르시면,무르셔야,,
Motive,Motive,무르시려고,,,
,,,,,
Verbal nouns,Verbal nouns,무르심,무르시기,,
Past-tense verbal nouns,Past-tense verbal nouns,무르셨음,무르셨기,,
Determiners,Past,무르신,,,
Determiners,Present,무르시는,,,
Determiners,Future,무르실,,,
