Unnamed: 0,Unnamed: 1,Formal non-polite(해라체),Informal non-polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,Non-past,V;DECL;FIN;PRS;FORM,V;DECL;FIN;PRS;INFM,"V;DECL;FIN;PRS;INFM;POL, V;DECL;FIN;PRS;INFM;POL",V;DECL;FIN;PRS;FORM;POL
Indicative,Past,V;DECL;FIN;PST;FORM,V;DECL;FIN;PST;INFM,V;DECL;FIN;PST;INFM;POL,V;DECL;FIN;PST;FORM;POL
Interrogative,Non-past,V;INT;FIN;PRS;FORM,V;INT;FIN;PRS;INFM,"V;INT;FIN;PRS;INFM;POL, V;INT;FIN;PRS;INFM;POL",V;INT;FIN;PRS;FORM;POL
Interrogative,Past,V;INT;FIN;PST;FORM,V;INT;FIN;PST;INFM,V;INT;FIN;PST;INFM;POL,V;INT;FIN;PST;FORM;POL
Hortative,Hortative,V;IMP;FIN;1;PL;FORM,V;IMP;FIN;1;PL;INFM,"V;IMP;FIN;1;PL;INFM;POL, V;IMP;FIN;1;PL;INFM;POL",V;IMP;FIN;1;PL;FORM;POL
Imperative,Imperative,V;IMP;FIN;2;FORM,V;IMP;FIN;2;INFM,V;IMP;FIN;2;INFM;POL,V;IMP;FIN;2;FORM;POL
Assertive,Assertive,V;DECL;FIN;FUT;FORM,V;DECL;FIN;FUT;INFM,V;DECL;FIN;FUT;INFM;POL,V;DECL;FIN;FUT;FORM;POL
,,,,,
Cause/Reason,Cause/Reason,V.CVB;NFIN;CAUS,V.CVB;NFIN;CAUS,V.CVB;NFIN;CAUS,V.CVB;NFIN;CAUS
Contrast,Contrast,V.CVB;NFIN,V.CVB;NFIN,V.CVB;NFIN,
Conjunction,Conjunction,V.CVB;NFIN;CONJ,,,
Condition,Condition,V.CVB;NFIN;COND,V.CVB;NFIN;COND,,
Motive,Motive,V.CVB;NFIN;PURP,,,
,,,,,
Verbal nouns,Verbal nouns,V.MSDR;PRS,V.MSDR;PRS,,
Past-tense verbal nouns,Past-tense verbal nouns,V.MSDR;PST,V.MSDR;PST,,
Determiners,Past,V.PTCP;PST,,,
Determiners,Present,V.PTCP;PRS,,,
